Business_Name,Owner_Name,Reported_Revenue,Employees_Reported,Taxes_Paid,Filing_Status
QuickFix Auto 85,Daniel Davis,460747,34,187109,Filed
Elite Consulting 97,Jane Davis,1240815,70,156289,Under Review
Silver State Contractors 49,Jessica Johnson,1817581,35,27904,Not Filed
Elite Consulting 32,Laura Smith,1783006,47,195567,Not Filed
Sunrise Cafe 87,John Williams,145196,29,187064,Filed
Vegas Retail Hub 74,Jessica Johnson,755570,6,89232,Under Review
Vegas Retail Hub 5,Michael Jones,1644684,85,199238,Filed
Sunrise Cafe 37,Michael Martinez,1099428,69,54371,Not Filed
Silver State Contractors 12,Sarah Davis,789837,40,177548,Filed
Silver State Contractors 4,John Smith,204282,88,164823,Not Filed
QuickFix Auto 65,David Hernandez,1181390,48,161134,Filed
Elite Consulting 21,Emily Brown,724671,10,79813,Under Review
Vegas Retail Hub 53,Emily Miller,1073387,26,33234,Filed
Silver State Contractors 24,John Miller,722632,74,93678,Under Review
Elite Consulting 94,Robert Jones,1540771,10,168478,Under Review
Vegas Retail Hub 38,Jane Williams,1349902,57,159431,Under Review
Elite Consulting 87,Jane Smith,601836,71,198922,Filed
QuickFix Auto 86,Daniel Brown,1593732,60,32043,Not Filed
Silver State Contractors 95,David Garcia,148837,3,137580,Under Review
QuickFix Auto 27,Jessica Hernandez,1664425,36,165120,Filed
Elite Consulting 38,Emily Hernandez,758196,15,172351,Not Filed
Vegas Retail Hub 89,Laura Garcia,598254,41,33305,Filed
QuickFix Auto 54,David Smith,1778250,70,78764,Filed
Sunrise Cafe 61,John Jones,1762106,23,157471,Filed
Vegas Retail Hub 24,John Jones,1294989,39,163398,Under Review
Vegas Retail Hub 26,John Smith,1991124,38,106744,Not Filed
QuickFix Auto 40,Daniel Martinez,1757246,49,12788,Filed
Sunrise Cafe 27,Sarah Garcia,1580363,99,21138,Filed
QuickFix Auto 42,Emily Smith,1676511,86,16696,Filed
Elite Consulting 14,Laura Williams,1626150,21,117204,Under Review
Elite Consulting 91,Daniel Davis,312292,86,57138,Under Review
Elite Consulting 41,Michael Garcia,297789,37,14091,Filed
Silver State Contractors 27,Daniel Brown,1383213,51,169098,Filed
QuickFix Auto 23,David Johnson,355090,76,159453,Filed
Vegas Retail Hub 100,Laura Miller,427556,92,51618,Filed
Sunrise Cafe 46,Sarah Garcia,929313,65,36313,Not Filed
Vegas Retail Hub 48,Jessica Hernandez,328066,83,93300,Filed
Sunrise Cafe 24,Robert Jones,422086,11,29468,Filed
QuickFix Auto 100,Emily Williams,982398,75,54846,Not Filed
Elite Consulting 76,Emily Hernandez,1154441,2,126918,Not Filed
Silver State Contractors 15,Robert Williams,1726951,66,93392,Filed
QuickFix Auto 89,Jessica Garcia,905454,24,36434,Under Review
Silver State Contractors 51,Jessica Garcia,74530,1,65858,Not Filed
Vegas Retail Hub 84,Jessica Davis,622979,42,69302,Filed
Silver State Contractors 22,Robert Hernandez,980828,33,23300,Not Filed
Sunrise Cafe 72,Jane Martinez,1688488,31,187606,Under Review
Elite Consulting 90,Michael Smith,619635,18,50386,Under Review
Silver State Contractors 3,John Johnson,1559453,26,178739,Under Review
Sunrise Cafe 89,Jane Williams,1385652,76,51913,Under Review
Vegas Retail Hub 95,Robert Smith,1528214,53,108066,Under Review
Vegas Retail Hub 27,David Miller,246346,24,7147,Under Review
QuickFix Auto 26,John Garcia,1615915,45,153613,Not Filed
Silver State Contractors 96,Robert Hernandez,1633273,46,176111,Not Filed
Sunrise Cafe 54,Daniel Jones,407852,14,92515,Not Filed
Silver State Contractors 26,Jessica Smith,403090,11,8094,Filed
QuickFix Auto 28,Laura Johnson,1005361,71,72222,Filed
Sunrise Cafe 97,Michael Garcia,1164788,33,33598,Under Review
Vegas Retail Hub 80,Robert Smith,693244,92,83679,Not Filed
Silver State Contractors 3,Daniel Garcia,426495,88,55930,Not Filed
Vegas Retail Hub 76,Emily Williams,1918809,100,183400,Under Review
Silver State Contractors 33,Laura Davis,1675664,94,11422,Under Review
Elite Consulting 31,Robert Davis,1046943,11,199967,Not Filed
Sunrise Cafe 98,Sarah Smith,1787635,77,176739,Not Filed
Vegas Retail Hub 1,Michael Williams,1784475,42,196554,Under Review
QuickFix Auto 85,Laura Williams,1267177,65,190737,Under Review
Elite Consulting 38,Sarah Miller,1349534,72,13603,Not Filed
QuickFix Auto 50,Emily Garcia,599625,81,184686,Filed
Elite Consulting 88,David Davis,1055221,42,175980,Not Filed
QuickFix Auto 72,Jessica Brown,1371869,24,188615,Not Filed
Sunrise Cafe 17,Michael Johnson,407134,90,85371,Not Filed
Vegas Retail Hub 47,David Hernandez,590424,80,30610,Filed
Vegas Retail Hub 42,Jane Williams,504246,40,158077,Filed
QuickFix Auto 14,Daniel Brown,1796417,96,95554,Under Review
Sunrise Cafe 73,Robert Smith,1207102,57,33708,Not Filed
Vegas Retail Hub 66,Sarah Jones,1757089,97,129175,Under Review
Vegas Retail Hub 22,David Johnson,982756,0,24376,Filed
Silver State Contractors 98,Jane Smith,1301073,86,49602,Under Review
Silver State Contractors 9,Michael Garcia,1483493,93,149617,Filed
Sunrise Cafe 17,John Williams,546158,21,144399,Not Filed
Sunrise Cafe 80,Daniel Williams,1354380,41,78179,Not Filed
Elite Consulting 46,Daniel Smith,1798180,11,167000,Not Filed
QuickFix Auto 19,Emily Hernandez,1088549,3,51340,Under Review
Vegas Retail Hub 64,Robert Garcia,797974,8,33685,Not Filed
Vegas Retail Hub 14,Michael Smith,964842,65,117074,Not Filed
Silver State Contractors 1,John Hernandez,407021,63,119863,Not Filed
Sunrise Cafe 85,Laura Garcia,443760,11,118461,Filed
Sunrise Cafe 87,Jane Johnson,506059,17,112707,Not Filed
Sunrise Cafe 74,Laura Smith,1161817,47,99356,Filed
Sunrise Cafe 21,Laura Williams,1916434,55,64929,Not Filed
Silver State Contractors 94,Sarah Johnson,1112365,12,199791,Not Filed
Vegas Retail Hub 79,Laura Miller,1180182,65,53396,Not Filed
Sunrise Cafe 63,John Jones,852858,6,38070,Filed
Elite Consulting 8,Robert Smith,1052605,74,88689,Under Review
QuickFix Auto 99,Daniel Hernandez,1077338,22,178311,Filed
Vegas Retail Hub 96,Robert Miller,754122,26,190161,Not Filed
QuickFix Auto 56,Michael Davis,401385,70,148063,Not Filed
Elite Consulting 100,Sarah Williams,627414,91,181613,Not Filed
Vegas Retail Hub 45,Michael Martinez,760832,70,193409,Filed
Sunrise Cafe 79,David Hernandez,1930689,7,54381,Not Filed
Silver State Contractors 78,Robert Hernandez,1536046,86,42976,Under Review
Vegas Retail Hub 75,Daniel Johnson,1520707,26,57285,Under Review
Silver State Contractors 32,Michael Smith,718009,17,162748,Not Filed
Elite Consulting 78,Daniel Hernandez,247089,67,62159,Under Review
Vegas Retail Hub 2,Daniel Smith,992564,72,34332,Not Filed
Vegas Retail Hub 13,John Brown,1094245,27,80652,Filed
Silver State Contractors 75,Michael Brown,613997,77,84526,Under Review
Silver State Contractors 9,Laura Jones,1626106,16,43617,Filed
Sunrise Cafe 43,Jessica Smith,1788750,47,26669,Under Review
Silver State Contractors 82,Michael Garcia,1121055,50,12132,Not Filed
Sunrise Cafe 45,David Hernandez,143552,53,144371,Filed
Elite Consulting 97,Jane Jones,526338,49,168612,Under Review
Elite Consulting 42,Laura Davis,1296565,45,63916,Not Filed
Sunrise Cafe 83,Laura Jones,490053,56,67172,Filed
Elite Consulting 90,Jessica Martinez,182647,64,35225,Filed
Elite Consulting 62,Daniel Garcia,1139114,91,42255,Under Review
Sunrise Cafe 13,Jane Williams,442963,98,120259,Under Review
Elite Consulting 54,Jessica Williams,1303902,50,162753,Not Filed
Silver State Contractors 64,Robert Johnson,747439,9,172522,Filed
Silver State Contractors 44,Daniel Garcia,1085281,59,63360,Under Review
Silver State Contractors 3,Daniel Davis,1150748,90,11617,Not Filed
Sunrise Cafe 38,John Davis,957040,38,169255,Filed
Vegas Retail Hub 83,Michael Garcia,1478030,28,62311,Not Filed
Vegas Retail Hub 83,Jessica Miller,1136740,38,119870,Not Filed
Sunrise Cafe 86,Robert Martinez,1776296,4,9094,Filed
Silver State Contractors 10,Jane Williams,1739905,86,85248,Under Review
Elite Consulting 77,Jessica Smith,1996300,59,116188,Under Review
Silver State Contractors 70,Jessica Smith,1006142,96,36273,Under Review
Elite Consulting 73,Daniel Johnson,813104,88,130823,Not Filed
Sunrise Cafe 44,Emily Brown,72819,11,144577,Under Review
Elite Consulting 5,Robert Jones,175167,89,178704,Under Review
Silver State Contractors 47,Laura Williams,1756762,96,9494,Filed
Vegas Retail Hub 93,David Smith,265600,32,60129,Not Filed
QuickFix Auto 25,Robert Garcia,554990,29,34960,Not Filed
Vegas Retail Hub 85,Jane Brown,1605024,34,131301,Filed
Silver State Contractors 37,Jane Smith,590864,96,60545,Filed
Silver State Contractors 8,Michael Martinez,57126,66,51708,Filed
QuickFix Auto 99,Daniel Davis,548842,95,7432,Filed
Elite Consulting 85,Jessica Garcia,1758894,19,78706,Not Filed
Elite Consulting 60,Laura Davis,658383,46,134651,Under Review
Silver State Contractors 48,Daniel Brown,1658407,10,159403,Not Filed
Silver State Contractors 70,Jessica Miller,1661354,30,8065,Not Filed
Vegas Retail Hub 47,Sarah Garcia,811146,67,134900,Filed
Sunrise Cafe 46,Robert Miller,1531634,24,116654,Under Review
Silver State Contractors 22,Jessica Johnson,919434,39,98342,Not Filed
QuickFix Auto 88,Laura Jones,1528643,37,149468,Filed
QuickFix Auto 35,Robert Brown,763193,61,19440,Not Filed
Vegas Retail Hub 69,Michael Miller,1513645,87,94985,Under Review
Vegas Retail Hub 87,John Martinez,375166,41,65687,Under Review
Sunrise Cafe 57,Jessica Miller,844954,34,105181,Not Filed
QuickFix Auto 65,Daniel Hernandez,635898,42,140046,Filed
QuickFix Auto 100,Jessica Smith,738773,47,176139,Not Filed
QuickFix Auto 27,David Hernandez,1271387,98,101507,Not Filed
Vegas Retail Hub 100,David Williams,1806265,29,93601,Filed
Sunrise Cafe 100,John Hernandez,966161,100,77264,Not Filed
Silver State Contractors 47,Jane Jones,831332,4,96038,Under Review
QuickFix Auto 41,John Garcia,106058,58,167505,Filed
Silver State Contractors 5,Emily Brown,1785382,95,198490,Not Filed
Sunrise Cafe 90,Daniel Davis,1455543,23,137503,Filed
Vegas Retail Hub 97,Robert Garcia,230862,56,110441,Not Filed
Elite Consulting 87,Laura Johnson,1284336,94,47565,Filed
Sunrise Cafe 69,Michael Garcia,912990,76,135402,Under Review
Vegas Retail Hub 54,Sarah Smith,1651848,95,163848,Under Review
Vegas Retail Hub 21,Daniel Garcia,1284911,4,146894,Under Review
Elite Consulting 33,Daniel Garcia,1035437,30,50772,Filed
Elite Consulting 41,Emily Johnson,1973998,51,140610,Filed
Sunrise Cafe 95,Robert Garcia,1271363,10,181368,Not Filed
Sunrise Cafe 23,John Miller,354817,58,125514,Not Filed
QuickFix Auto 52,Emily Brown,1780717,5,54091,Filed
Silver State Contractors 9,Robert Davis,1181124,26,173316,Filed
QuickFix Auto 38,David Hernandez,697372,14,30644,Not Filed
Elite Consulting 64,Jane Martinez,263257,88,65323,Filed
QuickFix Auto 17,Jane Miller,1674400,92,175906,Filed
QuickFix Auto 18,Laura Brown,648523,32,30242,Filed
Silver State Contractors 79,Laura Davis,570083,23,37726,Under Review
Vegas Retail Hub 38,Laura Smith,1526304,84,8102,Filed
Silver State Contractors 33,Robert Davis,440200,60,82347,Filed
QuickFix Auto 34,Emily Williams,388471,38,8851,Not Filed
Sunrise Cafe 52,Michael Williams,1725404,68,145534,Not Filed
Silver State Contractors 86,Emily Garcia,1974195,38,131965,Filed
Sunrise Cafe 84,Laura Smith,231532,0,168242,Filed
Elite Consulting 88,David Miller,51415,7,132675,Filed
QuickFix Auto 77,Sarah Davis,1838730,45,103116,Not Filed
QuickFix Auto 3,Sarah Garcia,1943060,13,35967,Under Review
Sunrise Cafe 71,Laura Brown,689478,26,154216,Filed
Elite Consulting 77,David Martinez,442778,15,72983,Under Review
Silver State Contractors 4,Sarah Davis,1568380,50,96797,Not Filed
Sunrise Cafe 77,John Johnson,1719691,4,80171,Not Filed
Vegas Retail Hub 82,Laura Garcia,553767,15,37329,Not Filed
Silver State Contractors 86,Robert Johnson,293085,43,82767,Under Review
Vegas Retail Hub 64,Robert Williams,1535247,7,187385,Under Review
Silver State Contractors 96,Jane Williams,1093490,89,147431,Filed
QuickFix Auto 56,Jane Miller,1004286,21,166024,Filed
Silver State Contractors 15,Jane Garcia,1051625,15,199546,Under Review
Elite Consulting 38,Robert Hernandez,877706,60,75877,Under Review
Silver State Contractors 51,Michael Hernandez,1894843,61,158354,Filed
Vegas Retail Hub 71,Daniel Brown,346424,46,182463,Under Review
Silver State Contractors 90,Daniel Garcia,1811871,42,83707,Under Review
Elite Consulting 95,Jessica Brown,1081423,12,172395,Filed
Elite Consulting 75,Sarah Garcia,1148175,87,135264,Filed
Vegas Retail Hub 89,Michael Davis,164970,11,85846,Not Filed
QuickFix Auto 22,Jane Garcia,1622731,71,41817,Filed
Sunrise Cafe 94,Laura Miller,1718655,10,88884,Filed
Vegas Retail Hub 40,Laura Johnson,742709,47,88989,Under Review
Elite Consulting 42,Michael Williams,1068094,22,176336,Under Review
Silver State Contractors 69,Robert Garcia,50521,78,82936,Not Filed
Sunrise Cafe 3,Jane Hernandez,188935,95,53369,Under Review
QuickFix Auto 50,David Miller,698134,39,132794,Not Filed
Sunrise Cafe 61,Jessica Miller,407447,2,27891,Not Filed
QuickFix Auto 84,John Hernandez,1593968,12,169657,Filed
Silver State Contractors 6,Sarah Williams,1413461,69,69558,Not Filed
Vegas Retail Hub 87,Sarah Miller,494015,80,7652,Under Review
Vegas Retail Hub 59,Michael Miller,904467,24,176469,Filed
Vegas Retail Hub 41,John Jones,673221,86,16248,Filed
QuickFix Auto 27,John Miller,1732651,81,41970,Under Review
Vegas Retail Hub 64,Laura Martinez,749630,80,66461,Filed
Vegas Retail Hub 20,Robert Johnson,1413562,73,183323,Under Review
Silver State Contractors 27,Emily Hernandez,558369,24,157929,Under Review
Sunrise Cafe 92,Jane Hernandez,1437632,100,142602,Filed
Vegas Retail Hub 5,Emily Hernandez,1198107,48,44732,Not Filed
Vegas Retail Hub 86,Jane Johnson,1589702,87,150677,Filed
Elite Consulting 53,Emily Williams,1268375,22,101929,Filed
Silver State Contractors 24,John Garcia,1557272,71,74217,Not Filed
Vegas Retail Hub 12,Sarah Davis,1559405,87,52158,Filed
Silver State Contractors 48,Michael Hernandez,1341770,10,94849,Filed
Vegas Retail Hub 2,Daniel Jones,552749,90,135962,Under Review
Elite Consulting 45,Jessica Williams,126638,94,66907,Filed
QuickFix Auto 50,Michael Smith,1550515,37,136919,Filed
Vegas Retail Hub 60,Laura Miller,566501,35,146121,Not Filed
Sunrise Cafe 100,Laura Smith,1594285,82,20175,Filed
Silver State Contractors 12,Jane Hernandez,1055085,0,70100,Not Filed
Silver State Contractors 15,Sarah Garcia,1790924,5,189795,Filed
Vegas Retail Hub 15,Sarah Martinez,1058336,63,73078,Filed
Silver State Contractors 24,Daniel Miller,1509466,29,139253,Not Filed
Silver State Contractors 82,John Garcia,1818681,31,179583,Under Review
Silver State Contractors 63,Daniel Hernandez,949735,9,190091,Not Filed
QuickFix Auto 5,Emily Garcia,1347026,5,19746,Filed
Silver State Contractors 44,Sarah Davis,805978,79,136298,Under Review
Sunrise Cafe 100,Jessica Johnson,1569993,89,53230,Filed
Sunrise Cafe 18,John Garcia,1931118,76,188156,Under Review
Vegas Retail Hub 20,Jane Miller,1196598,14,194596,Under Review
Sunrise Cafe 34,Jane Miller,1369327,97,188470,Under Review
Sunrise Cafe 72,Laura Brown,1337389,78,6624,Filed
Silver State Contractors 47,Laura Johnson,210827,16,171440,Not Filed
Silver State Contractors 21,Jane Williams,140086,32,132467,Not Filed
Vegas Retail Hub 75,John Hernandez,1662757,69,85994,Under Review
QuickFix Auto 91,Robert Garcia,405137,18,36494,Not Filed
Vegas Retail Hub 30,Michael Johnson,1174509,80,192562,Filed
Sunrise Cafe 29,Michael Jones,61746,63,58717,Filed
QuickFix Auto 6,Emily Smith,1507182,32,105684,Filed
Elite Consulting 94,Daniel Smith,169568,70,58191,Filed
QuickFix Auto 21,Robert Garcia,1232190,14,104726,Under Review
Vegas Retail Hub 91,David Martinez,1622842,95,42364,Under Review
Vegas Retail Hub 51,Jane Jones,310349,84,76885,Under Review
QuickFix Auto 47,Laura Miller,1780984,62,142929,Not Filed
Sunrise Cafe 96,David Johnson,811314,1,30390,Not Filed
Elite Consulting 92,Michael Garcia,1582909,52,178405,Under Review
Vegas Retail Hub 11,Daniel Davis,768139,94,28614,Not Filed
QuickFix Auto 55,John Hernandez,829950,20,178250,Filed
Sunrise Cafe 39,John Hernandez,1069387,17,37671,Not Filed
Sunrise Cafe 34,Jessica Miller,219278,9,154902,Filed
Elite Consulting 24,Laura Smith,303565,77,24857,Not Filed
Sunrise Cafe 3,Daniel Garcia,573841,5,162400,Not Filed
Silver State Contractors 93,Michael Williams,807190,83,183276,Filed
QuickFix Auto 51,David Miller,1528614,35,177635,Filed
Elite Consulting 5,Robert Jones,537224,45,47699,Under Review
Elite Consulting 11,Sarah Johnson,329342,61,98125,Under Review
Elite Consulting 93,Laura Martinez,90344,5,68269,Not Filed
Vegas Retail Hub 95,Robert Williams,826549,22,132384,Under Review
Silver State Contractors 86,Jane Garcia,1008458,95,38229,Not Filed
Vegas Retail Hub 80,Jane Jones,562722,37,99423,Not Filed
Elite Consulting 20,Emily Davis,1616147,42,73608,Not Filed
Silver State Contractors 25,Robert Johnson,558294,45,116479,Filed
Vegas Retail Hub 39,Jessica Hernandez,163880,85,111287,Filed
Vegas Retail Hub 28,Emily Johnson,80599,31,140166,Under Review
QuickFix Auto 86,Michael Brown,574474,79,192550,Filed
Silver State Contractors 59,Laura Williams,516525,60,49791,Under Review
Elite Consulting 38,Jane Williams,584275,8,106327,Not Filed
QuickFix Auto 50,David Miller,1458251,71,23745,Under Review
Sunrise Cafe 50,Jessica Garcia,559572,100,12257,Not Filed
Elite Consulting 75,Jane Hernandez,289917,46,153571,Not Filed
QuickFix Auto 31,Robert Brown,924468,95,149737,Under Review
QuickFix Auto 25,Michael Hernandez,185194,89,188372,Not Filed
Silver State Contractors 2,Michael Smith,429341,89,14987,Under Review
Sunrise Cafe 50,John Williams,1849119,83,195604,Filed
Silver State Contractors 66,Robert Davis,1355245,7,43129,Not Filed
Vegas Retail Hub 55,John Miller,837107,32,141009,Filed
Vegas Retail Hub 20,Robert Williams,1208212,64,8879,Under Review
Elite Consulting 95,Jane Martinez,635674,69,159594,Not Filed
Sunrise Cafe 20,Robert Martinez,1698192,53,9589,Not Filed
Sunrise Cafe 65,David Hernandez,731489,35,190021,Under Review
Vegas Retail Hub 2,Jane Garcia,648348,54,58240,Filed
QuickFix Auto 52,Jessica Hernandez,896008,64,66433,Filed
QuickFix Auto 91,Michael Garcia,1608549,30,115981,Under Review
Elite Consulting 31,Laura Smith,1590613,47,163884,Not Filed
QuickFix Auto 40,John Jones,1713843,50,154071,Not Filed
Vegas Retail Hub 30,Sarah Smith,1601581,52,74736,Under Review
Elite Consulting 76,Emily Garcia,89403,93,91002,Under Review
Elite Consulting 73,Laura Johnson,1621953,60,143337,Under Review
Elite Consulting 31,Emily Brown,1326458,64,38401,Filed
Elite Consulting 55,Daniel Smith,1045962,26,151869,Under Review
Elite Consulting 94,David Hernandez,1134090,98,142617,Filed
Elite Consulting 53,Jessica Miller,171650,29,151743,Not Filed
QuickFix Auto 96,Daniel Miller,1646268,39,190875,Not Filed
Elite Consulting 87,Sarah Johnson,1674469,77,179465,Not Filed
Elite Consulting 58,Michael Johnson,1806962,100,106459,Filed
Elite Consulting 18,David Martinez,1517895,10,114499,Not Filed
Elite Consulting 94,Sarah Johnson,724960,67,69792,Not Filed
QuickFix Auto 93,Laura Jones,217250,43,157834,Not Filed
QuickFix Auto 35,Jane Davis,664654,34,147542,Under Review
Silver State Contractors 50,Jane Hernandez,585181,25,14351,Under Review
Silver State Contractors 50,Robert Garcia,489536,29,79390,Filed
QuickFix Auto 42,Robert Davis,559087,21,167274,Under Review
QuickFix Auto 43,Daniel Smith,344715,94,9065,Filed
Silver State Contractors 46,Daniel Jones,779528,13,37531,Not Filed
Sunrise Cafe 8,David Davis,386954,58,65283,Filed
Elite Consulting 58,David Miller,687302,77,147116,Under Review
Sunrise Cafe 29,Jessica Johnson,299017,52,8168,Filed
Vegas Retail Hub 23,John Brown,1569517,42,34759,Not Filed
